Genomics;references.bases;
Genomics;readgroupsets.coveragebuckets;
Genomics;variantsets;
Genomics;referencesets;
Genomics;readgroupsets;
Genomics;callsets;
Genomics;annotationsets;
GoogleCloudOSLoginAPI;users;
GoogleCloudVideoIntelligenceAPI;videos;
GoogleComputeEngineInstanceGroupsAPI;zoneOperations;
GoogleComputeEngineInstanceGroupsAPI;zoneViews;
GoogleServiceControlAPI;services;
GoogleServiceManagementAPI;services.configs;
GoogleServiceManagementAPI;services.consumers;
IdentityandAccessManagement;projects.serviceAccounts.keys;
MachineLearning;projects.models.versions;
MachineLearning;projects.jobs;
MachineLearning;projects.operations;
MachineLearning;projects.models;
MachineLearning;projects;
prediction;hostedmodels;
prediction;trainedmodels;
StackdriverErrorReporting;projects.groupStats;
StackdriverErrorReporting;projects.groups;
StackdriverErrorReporting;projects.events;
StackdriverErrorReporting;projects;
StackdriverLogging;folders.sinks;
StackdriverLogging;folders.logs;
StackdriverLogging;folders.exclusions;
StackdriverLogging;organizations.sinks;
StackdriverLogging;organizations.logs;
StackdriverLogging;organizations.exclusions;
StackdriverLogging;projects.sinks;
StackdriverLogging;projects.logs;
StackdriverLogging;projects.exclusions;
StackdriverLogging;projects.metrics;
StackdriverLogging;billingAccounts.sinks;
StackdriverLogging;billingAccounts.logs;
StackdriverLogging;billingAccounts.exclusions;
StackdriverLogging;entries;
StackdriverMonitoring;projects.groups.members;
StackdriverMonitoring;projects.collectdTimeSeries;
StackdriverMonitoring;projects.timeSeries;
StackdriverTrace;projects.traces;
Translation;languages;LanguagesListResponse
Translation;translations;TranslationsListResponse
Translation;detections;DetectionsListResponse
