Kind;Name;Literal;Description
appengine.v1.version;InboundServiceType;INBOUND_SERVICE_UNSPECIFIED INBOUND_SERVICE_MAIL INBOUND_SERVICE_MAIL_BOUNCE INBOUND_SERVICE_XMPP_ERROR INBOUND_SERVICE_XMPP_MESSAGE INBOUND_SERVICE_XMPP_SUBSCRIBE INBOUND_SERVICE_XMPP_PRESENCE INBOUND_SERVICE_CHANNEL_PRESENCE INBOUND_SERVICE_WARMUP ;Available inbound services.
appengine.v1.version;ServingStatus;SERVING_STATUS_UNSPECIFIED SERVING STOPPED ;Run states of a version.
appengine.v1beta4.version;InboundServiceType;INBOUND_SERVICE_UNSPECIFIED INBOUND_SERVICE_MAIL INBOUND_SERVICE_MAIL_BOUNCE INBOUND_SERVICE_XMPP_ERROR INBOUND_SERVICE_XMPP_MESSAGE INBOUND_SERVICE_XMPP_SUBSCRIBE INBOUND_SERVICE_XMPP_PRESENCE INBOUND_SERVICE_CHANNEL_PRESENCE INBOUND_SERVICE_REST INBOUND_SERVICE_WARMUP ;Available inbound services.
appengine.v1beta4.version;ServingStatus;SERVING_STATUS_UNSPECIFIED SERVING STOPPED ;Run states of a version.
appengine.v1beta5.version;InboundServiceType;INBOUND_SERVICE_UNSPECIFIED INBOUND_SERVICE_MAIL INBOUND_SERVICE_MAIL_BOUNCE INBOUND_SERVICE_XMPP_ERROR INBOUND_SERVICE_XMPP_MESSAGE INBOUND_SERVICE_XMPP_SUBSCRIBE INBOUND_SERVICE_XMPP_PRESENCE INBOUND_SERVICE_CHANNEL_PRESENCE INBOUND_SERVICE_REST INBOUND_SERVICE_WARMUP ;Available inbound services.
appengine.v1beta5.version;ServingStatus;SERVING_STATUS_UNSPECIFIED SERVING STOPPED ;Run states of a version.
